City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,64.4,57,17,13.73,AU,1680050034
1,hobart,-42.8794,147.3294,63.27,93,45,2.84,AU,1680050034
2,jamestown,42.097,-79.2353,39.02,65,0,3.44,US,1680050034
3,tasiilaq,65.6145,-37.6368,8.76,65,0,6.64,GL,1680050034
4,nome,64.5011,-165.4064,18.16,86,75,16.11,US,1680050035
5,bowen,-20.0167,148.2333,87.04,56,25,7.83,AU,1680050035
6,mercedes,-34.6515,-59.4307,72.86,65,0,9.78,AR,1680050035
7,lebu,-37.6167,-73.65,52.84,79,4,2.86,CL,1680050035
8,punta arenas,-53.15,-70.9167,37.11,74,11,13.78,CL,1680049806
9,lazarev,52.225,141.5131,31.26,80,90,14.14,RU,1680050035
10,hilo,19.7297,-155.09,79.95,80,100,13.8,US,1680050036
11,arraial do cabo,-22.9661,-42.0278,75.16,88,75,0.0,BR,1680050036
12,bengkulu,-3.8004,102.2655,76.32,88,100,3.11,ID,1680050036
13,provideniya,64.3833,-173.3,28.51,80,100,25.01,RU,1680050036
14,avera,33.194,-82.5271,66.25,66,100,9.89,US,1680050036
15,bolgar,54.95,49.0667,30.6,90,100,8.97,RU,1680049989
16,mataura,-46.1927,168.8643,51.48,48,25,6.93,NZ,1680050037
17,bethanien,-26.502,17.1583,62.11,40,0,2.01,NA,1680050037
18,ushuaia,-54.8,-68.3,35.26,80,40,16.11,AR,1680050037
19,karratha,-20.7377,116.8463,81.66,73,100,6.02,AU,1680050038
20,si sa ket,14.8333,104.3333,80.87,62,20,9.22,TH,1680050038
21,atuona,-9.8,-139.0333,80.96,75,7,11.16,PF,1680050038
22,cape town,-33.9258,18.4232,59.92,68,20,8.05,ZA,1680049961
23,formosa,-26.1775,-58.1781,84.96,57,0,5.75,AR,1680050038
24,chokurdakh,70.6333,147.9167,-4.76,93,82,14.5,RU,1680050038
25,petropavlovsk-kamchatskiy,53.0452,158.6483,32.59,47,20,13.42,RU,1680049860
26,grindavik,63.8424,-22.4338,35.55,60,0,19.57,IS,1680050039
27,yellowknife,62.456,-114.3525,14.52,85,100,5.75,CA,1680049845
28,te anau,-45.4167,167.7167,51.89,47,5,3.65,NZ,1680050039
29,bluff,-46.6,168.3333,51.8,59,81,13.49,NZ,1680050039
30,bethel,41.3712,-73.414,46.49,50,0,4.61,US,1680049733
31,troitsko-pechorsk,62.7084,56.1964,4.1,98,20,4.74,RU,1680050040
32,diapaga,12.0708,1.7889,82.36,52,26,1.41,BF,1680050040
33,yulara,-25.2406,130.9889,77.52,48,91,15.43,AU,1680050040
34,okhotsk,59.3833,143.3,20.19,89,100,6.4,RU,1680050040
35,doka,13.5167,35.7667,75.96,23,100,7.72,SD,1680050040
36,albany,42.6001,-73.9662,41.41,65,7,4.0,US,1680050041
37,hasaki,35.7333,140.8333,55.8,78,100,10.85,JP,1680050041
38,cap malheureux,-19.9842,57.6142,74.46,74,68,9.1,MU,1680049866
39,tiksi,71.6872,128.8694,-10.16,89,97,10.22,RU,1680050041
40,nanortalik,60.1432,-45.2371,26.06,84,40,3.0,GL,1680050041
41,asfi,32.2994,-9.2372,65.75,47,6,6.67,MA,1680050042
42,thompson,55.7435,-97.8558,10.56,56,100,11.5,CA,1680050042
43,avarua,-21.2078,-159.775,78.85,89,100,8.05,CK,1680050042
44,ostersund,63.1792,14.6357,7.25,85,68,3.44,SE,1680050042
45,urumqi,43.801,87.6005,43.75,53,0,4.47,CN,1680050043
46,hermanus,-34.4187,19.2345,58.8,76,100,3.96,ZA,1680050043
47,ribeira grande,38.5167,-28.7,59.77,76,13,21.0,PT,1680050043
48,alekseyevsk,57.8406,108.3492,21.65,91,100,5.08,RU,1680050044
49,torbay,47.6666,-52.7314,32.29,91,75,14.97,CA,1680050044
50,castro,-24.7911,-50.0119,63.79,93,97,3.38,BR,1680050044
51,kavieng,-2.5744,150.7967,80.44,75,100,4.76,PG,1680050044
52,okha,53.5739,142.9478,34.0,85,73,9.69,RU,1680050045
53,iqaluit,63.7506,-68.5145,13.73,85,100,5.75,CA,1680049783
54,nikolskoye,59.7035,30.7861,30.78,97,100,6.96,RU,1680050045
55,bauchi,10.5,10.0,71.87,14,21,5.77,NG,1680050045
56,cherskiy,68.75,161.3,16.11,73,50,22.88,RU,1680049988
57,saskylakh,71.9167,114.0833,-13.83,95,94,7.9,RU,1680050045
58,dikson,73.5069,80.5464,-11.49,96,100,11.88,RU,1680050046
59,gasa,31.5,34.4667,64.76,73,0,8.48,PS,1680050046
60,marsh harbour,26.5412,-77.0636,75.99,76,0,7.31,BS,1680050046
61,ponta delgada,37.7333,-25.6667,59.72,82,20,21.85,PT,1680050046
62,calvillo,21.85,-102.7167,86.94,11,6,7.7,MX,1680050046
63,adjumani,3.3779,31.7909,66.36,97,40,3.0,UG,1680050047
64,cidreira,-30.1811,-50.2056,71.76,83,4,12.53,BR,1680050047
65,rikitea,-23.1203,-134.9692,80.42,75,100,8.72,PF,1680050047
66,vila velha,-20.3297,-40.2925,80.94,81,75,0.0,BR,1680050047
67,vaini,-21.2,-175.2,82.56,89,20,11.5,TO,1680050048
68,new norfolk,-42.7826,147.0587,62.92,76,71,3.0,AU,1680050048
69,butaritari,3.0707,172.7902,81.12,81,41,13.4,KI,1680050048
70,ntoum,0.3833,9.7833,74.97,97,100,2.21,GA,1680050048
71,arlit,18.7369,7.3853,73.78,9,0,11.25,NE,1680050048
72,ponta do sol,32.6667,-17.1,70.12,27,68,1.54,PT,1680050049
73,shevchenkove,49.6959,37.1735,43.97,83,100,11.86,UA,1680050049
74,kapaa,22.0752,-159.319,80.92,79,75,14.97,US,1680050049
75,ambon,-3.6954,128.1814,84.34,74,40,2.3,ID,1680050050
76,mul,20.0667,79.6667,76.98,49,2,5.95,IN,1680050050
77,brigantine,39.4101,-74.3646,45.14,85,0,8.01,US,1680050050
78,queenstown,-31.8976,26.8753,57.38,81,3,4.38,ZA,1680050050
79,kaitangata,-46.2817,169.8464,52.11,51,81,6.76,NZ,1680050051
80,georgetown,5.4112,100.3354,82.33,94,20,3.44,MY,1680049820
81,chiredzi,-21.05,31.6667,59.88,87,11,2.46,ZW,1680050051
82,broome,42.2506,-75.833,38.7,72,99,1.99,US,1680050051
83,aykhal,66.0,111.5,-3.39,93,100,2.86,RU,1680050051
84,east london,-33.0153,27.9116,64.85,71,19,22.55,ZA,1680049824
85,mayumba,-3.432,10.6554,77.86,85,100,1.63,GA,1680050052
86,bambous virieux,-20.3428,57.7575,74.21,88,20,3.44,MU,1680050053
87,zhigansk,66.7697,123.3711,-8.84,93,88,12.26,RU,1680050053
88,saquarema,-22.92,-42.5103,75.34,84,100,6.8,BR,1680050053
89,bandarbeyla,9.4942,50.8122,79.57,82,70,4.9,SO,1680050053
90,concord,37.978,-122.0311,53.82,80,100,11.5,US,1680049836
91,santa rosa,14.3122,121.1114,85.1,63,100,9.48,PH,1680050030
92,xining,36.6167,101.7667,39.99,39,12,1.95,CN,1680050054
93,kitgum,3.2783,32.8867,66.88,88,11,2.57,UG,1680050054
94,kodiak,57.79,-152.4072,45.91,53,20,3.44,US,1680050013
95,constitucion,-35.3333,-72.4167,56.79,84,54,23.0,CL,1680050054
96,olinda,-8.0089,-34.8553,82.13,69,40,13.8,BR,1680050054
97,aksay,47.26,39.87,52.25,89,100,5.99,RU,1680050055
98,poum,-20.2333,164.0167,79.72,76,100,6.76,NC,1680050055
99,egvekinot,66.3167,-179.1667,20.01,93,100,4.56,RU,1680050055
100,puerto ayora,-0.7393,-90.3518,80.55,91,72,5.01,EC,1680050056
101,kununurra,-15.7667,128.7333,85.98,70,100,3.44,AU,1680049925
102,strai,58.2,7.9,38.62,94,100,0.0,NO,1680050056
103,northam,51.0333,-4.2167,52.39,96,100,15.39,GB,1680050057
104,saldanha,-33.0117,17.9442,60.85,73,83,18.3,ZA,1680050057
105,cuamba,-14.8031,36.5372,65.84,99,98,3.51,MZ,1680050057
106,sao jose de ribamar,-2.5619,-44.0542,79.18,86,100,10.07,BR,1680050057
107,san jose,37.3394,-121.895,51.39,88,75,5.75,US,1680049912
108,mehamn,71.0357,27.8492,24.71,93,75,2.3,NO,1680050058
109,san rafael del sur,11.8485,-86.4384,85.17,53,0,12.12,NI,1680050058
110,sitka,57.0531,-135.33,42.69,65,100,12.66,US,1680050058
